1,290,3283.4
2,847,3255.8
3,1475,3261.4
4,2085,3235.8
5,2679,3218.5
6,3213,3265.8
7,3772,3314.2
8,4257,3288.4
9,4733,3311.4
10,5165,3278.8
1,290,3189.5
2,846,3199.6
3,1478,3171.6
4,2090,3202.3
5,2687,3194.3
6,3227,3192.3
7,3762,3188.1
8,4255,3195.7
9,4710,3193.6
10,5160,3190.1
1,290,3190
2,847,3184.4
3,1468,3188.3
4,2087,3184.7
5,2687,3176.7
6,3234,3175.6
7,3760,3208.3
8,4252,3197.9
9,4730,3203.9
10,5166,3213.5
1,290,3216.7
2,845,3190.6
3,1474,3241.1
4,2081,3197.5
5,2686,3176.4
6,3231,3181.2
7,3767,3207.5
8,4258,3207.2
9,4727,3185.5
10,5173,3309
1,290,3214.4
2,849,3204.5
3,1466,3178.1
4,2089,3193
5,2684,3178.3
6,3228,3189.5
7,3757,3209
8,4250,3190
9,4725,3193.5
10,5168,3219.8
