1,591,1663.3
2,1792,1665.5
3,3240,1645.7
4,4706,1666.1
5,6067,1653.7
6,7250,1632.4
7,8252,1619.8
8,9115,1608.9
9,9918,1597.8
10,10465,1568.3
1,597,1623.6
2,1785,1641.2
3,3252,1651.1
4,4759,1673.5
5,6062,1660.1
6,7225,1639.1
7,8264,1627.5
8,9128,1614.4
9,9901,1599.3
10,10470,1588.2
1,594,1635.1
2,1800,1629.7
3,3247,1637.8
4,4735,1650.2
5,6027,1643.8
6,7245,1643.9
7,8256,1614.3
8,9130,1592.3
9,9929,1574.5
10,10455,1555.9
1,592,1645.9
2,1788,1662.1
3,3245,1678.5
4,4722,1714.4
5,6072,1697.8
6,7242,1676.2
7,8242,1635.4
8,9123,1624.7
9,9898,1610.1
10,10489,1587.1
1,593,1635.3
2,1779,1666.4
3,3231,1646.8
4,4736,1689.3
5,6083,1644.4
6,7253,1657.2
7,8281,1622.4
8,9164,1597.1
9,9873,1592.6
10,10482,1569.1
