1,355,69.591
2,829,97.839
3,1315,111.12
4,1693,120.96
5,1966,128.81
6,2136,134.76
7,2281,139.84
8,2386,142.93
9,2463,148.68
10,2500,148.01
1,355,72.076
2,830,100.84
3,1319,114.93
4,1686,124.74
5,1957,132.57
6,2156,139.11
7,2270,143.66
8,2380,147.83
9,2468,152.87
10,2503,153.23
1,355,69.53
2,830,97.814
3,1317,111.03
4,1696,121.42
5,1958,128.64
6,2137,134.34
7,2281,139.51
8,2381,143.42
9,2464,146.2
10,2493,148.26
1,355,71.637
2,830,100.91
3,1316,114.78
4,1693,124.69
5,1970,132.99
6,2153,139.37
7,2280,143.87
8,2375,147.07
9,2463,150.53
10,2508,152.82
1,355,69.929
2,829,82.628
3,1323,93.529
4,1685,102.28
5,1957,108.84
6,2150,114.14
7,2284,118.49
8,2389,121.23
9,2462,123.37
10,2491,125.04
