1176,77.21,1
355,70.504,2
355,70.268,3
355,70.325,4
355,70.803,5
355,71.339,6
355,71.696,7
355,71.554,8
355,72.454,9
355,72.716,10
2444,93.203,1
830,97.394,2
830,97.489,3
830,97.919,4
830,98.782,5
830,99.416,6
830,99.695,7
830,98.594,8
830,99.165,9
830,99.874,10
2733,100.52,1
1319,105.87,2
1319,106.28,3
1319,107.85,4
1319,109.37,5
1319,110.38,6
1319,111.33,7
1319,115.33,8
1319,113.9,9
1319,115.04,10
2896,106.54,1
1685,111.61,2
1685,113.49,3
1685,114.5,4
1685,115.97,5
1685,117.53,6
1685,118.99,7
1685,120.69,8
1685,122.93,9
1685,123.94,10
2952,109.2,1
1972,114.5,2
1972,117.75,3
1972,118.01,4
1972,121.62,5
1972,123.96,6
1972,125.77,7
1972,127.83,8
1972,129.88,9
1972,131.68,10
2964,112.84,1
2155,118.43,2
2155,120.73,3
2155,124.22,4
2155,126.7,5
2155,128.98,6
2155,131.19,7
2155,135.47,8
2155,135.65,9
2155,137.57,10
2983,112.39,1
2285,122.26,2
2285,122.8,3
2285,125.92,4
2285,128.88,5
2285,132.82,6
2285,134.14,7
2285,136.71,8
2285,139.3,9
2285,141.51,10
2940,114.18,1
2384,124.05,2
2384,126.46,3
2384,129.28,4
2384,131.5,5
2384,132.83,6
2384,136.41,7
2384,139.45,8
2384,142.7,9
2384,145.54,10
2927,114.62,1
2476,125.7,2
2476,128.3,3
2476,131.04,4
2476,134.1,5
2476,139.28,6
2476,139.87,7
2476,141.41,8
2476,144,9
2476,147.24,10
2907,115.07,1
2501,127.48,2
2501,129.93,3
2501,133.17,4
2501,136.52,5
2501,139.39,6
2501,142.21,7
2501,145.34,8
2501,148.48,9
2501,151.58,10
