1,1,1103.7
2,2,1114
3,4,1118.1
4,8,1115.3
5,16,1121.7
6,27,1113.4
7,36,1119
8,47,1118.2
9,73,1126.4
10,90,1117.2
1,1,1123.4
2,2,1119.5
3,4,1105.3
4,8,1134
5,16,1109.4
6,25,1104.8
7,36,1092.3
8,50,1141.5
9,70,1097.3
10,87,1123.5
1,1,1120.8
2,2,1109.2
3,4,1121.9
4,8,1137.4
5,16,1128
6,26,1144.5
7,35,1142.1
8,48,1116.9
9,70,1131.9
10,85,1141
1,1,1133
2,2,1135.9
3,4,1140
4,8,1127.8
5,15,1128.1
6,26,1140.7
7,33,1123.3
8,47,1139.3
9,69,1152.2
10,84,1150.7
1,1,1197
2,2,1216.6
3,4,1198.9
4,8,1189.9
5,16,1208.9
6,25,1263.6
7,35,1199.6
8,53,1185
9,71,1212
10,86,1186.1
