1,1,1444
2,2,1432.3
3,4,1430.9
4,8,1432.3
5,15,1436.3
6,24,1427.8
7,31,1425.8
8,45,1424.7
9,67,1418.3
10,81,1411.1
1,1,1414.3
2,2,1451.1
3,4,1419.5
4,8,1427.8
5,16,1432.1
6,24,1429.2
7,30,1457.6
8,45,1463
9,68,1460.8
10,82,1434.3
1,1,1439.2
2,2,1454.4
3,4,1455
4,8,1450.6
5,15,1450.8
6,24,1457.3
7,31,1454.9
8,44,1460.2
9,67,1466.3
10,82,1529.8
1,1,1538.8
2,2,1537.5
3,4,1588.9
4,8,1578.6
5,15,1542.3
6,23,1558.4
7,30,1541.1
8,45,1545.3
9,68,1530.5
10,82,1512.6
1,1,1475.1
2,2,1470.5
3,4,1466.8
4,8,1483.3
5,15,1481.4
6,24,1469.1
7,30,1446.2
8,46,1451.4
9,68,1424.3
10,81,1388.5
