1,1,4602.4
2,241,6114.7
3,639,6098.1
4,1072,5595
5,1464,5561.5
6,1936,5353.4
7,2369,5353
8,2833,5366.1
9,3232,5311
10,3595,5289.4
1,1,4603.9
2,241,6260.8
3,639,6371
4,1072,5715
5,1462,5731.3
6,1933,5538.5
7,2363,5391
8,2829,5297.2
9,3228,5309.4
10,3597,5309.3
1,1,4640.8
2,241,6051.1
3,639,5556.9
4,1072,5533.4
5,1462,5618
6,1929,5369.9
7,2373,5360.5
8,2832,5347.7
9,3234,5333.8
10,3601,5252.1
1,1,4588
2,241,6106.3
3,639,5574.3
4,1072,6083.1
5,1463,5574
6,1931,5332
7,2360,5327.5
8,2827,5300.8
9,3232,5335.3
10,3588,5316.3
1,1,4628
2,241,5366.6
3,639,5116.5
4,1072,5553.5
5,1463,5334
6,1930,5217.4
7,2366,5180.2
8,2832,5167.6
9,3236,5136.1
10,3594,5178.4
