1,1863.1
239,2487.4
734,2641
1252,2549
1741,2658.8
2312,2722.7
2850,3315.1
3266,2890.7
3683,3296.6
4051,3035
1,1912.2
239,2430.8
736,2665.4
1253,2543
1742,2631.2
2321,2738.4
2853,3327.2
3269,2940
3680,3244.4
4059,3328.7
1,1866.8
240,2423.4
734,2612.5
1249,2553
1742,2635.2
2320,2715
2851,3355.2
3289,2934.6
3673,3274.7
4064,3134
1,1916.4
239,2458.4
734,2583.5
1253,2511.3
1749,2605
2311,2726.6
2846,3280.2
3292,2875.6
3689,3219.8
4053,3020.1
1,1860.2
239,2345.9
735,2613.2
1255,2497.2
1747,2584.5
2320,2736.7
2848,3271.7
3263,2845.5
3669,3221.1
4048,2969.7
