1,278,1655.7
2,823,1633.9
3,1486,1659.7
4,2091,1651.6
5,2707,1661.3
6,3249,1664.6
7,3688,1669.1
8,4099,1667.6
9,4388,1670.1
10,4625,1666.5
1,278,1648.4
2,824,1640.2
3,1481,1640.7
4,2096,1643.1
5,2713,1645.3
6,3257,1645.2
7,3692,1644.5
8,4100,1647.9
9,4387,1649.1
10,4641,1652.3
1,278,1653.6
2,824,1646.2
3,1487,1647.7
4,2092,1639.2
5,2711,1645.8
6,3256,1645.5
7,3688,1649
8,4100,1638.3
9,4385,1645.8
10,4635,1648.6
1,278,1645.9
2,822,1645.7
3,1483,1647.7
4,2103,1655.7
5,2708,1647.4
6,3251,1640.4
7,3700,1607
8,4091,1647.6
9,4381,1639.2
10,4634,1646.7
1,278,1652.2
2,823,1641.9
3,1483,1643.7
4,2085,1640.6
5,2707,1646.9
6,3252,1643.8
7,3700,1642.4
8,4101,1643.3
9,4382,1654.9
10,4639,1646.2
