1,288,1428.8
2,778,1767.6
3,1347,1793.5
4,1854,1772.2
5,2343,1751.2
6,2760,1748.5
7,3101,1761.9
8,3424,1752.7
9,3666,1760.3
10,3888,1783.1
1,287,1468.7
2,777,1814.5
3,1346,1805
4,1854,1796.1
5,2342,1786.1
6,2761,1766.2
7,3098,1761.9
8,3426,1761.7
9,3671,1754.2
10,3886,1751.6
1,286,1439.7
2,777,1781.5
3,1347,1779.7
4,1855,1774.4
5,2341,1770.4
6,2762,1766.2
7,3097,1754.7
8,3431,1757.7
9,3667,1755.6
10,3887,1752.7
1,288,1432.6
2,777,1773.8
3,1347,1774.2
4,1854,1764.4
5,2345,1767.3
6,2758,1759
7,3097,1777.1
8,3433,1753.7
9,3667,1759.4
10,3885,1751.9
1,287,1436.1
2,777,1782.9
3,1347,1777.9
4,1854,1761.1
5,2344,1756.7
6,2762,1759.4
7,3099,1760.2
8,3429,1746.6
9,3669,1759.8
10,3891,1763.7
