1,291,1523.5
2,810,1486.6
3,1418,1491.8
4,1983,1491.5
5,2554,1487.6
6,3016,1479.2
7,3447,1475.7
8,3814,1464.4
9,4085,1483
10,4358,1481
1,291,1499.4
2,807,1495.5
3,1426,1502.1
4,1969,1502.6
5,2532,1494.4
6,3040,1484.8
7,3425,1479.8
8,3781,1475.8
9,4088,1501.9
10,4316,1472.6
1,290,1483.8
2,809,1484.4
3,1425,1477.3
4,1985,1482.9
5,2524,1482.8
6,3029,1466.1
7,3464,1460
8,3809,1452.4
9,4138,1472.2
10,4358,1455.9
1,289,1509
2,815,1481
3,1424,1489.6
4,1982,1502.2
5,2537,1499.6
6,3031,1499.4
7,3445,1464.2
8,3832,1467.9
9,4104,1494.4
10,4315,1495.1
1,292,1509.9
2,814,1497.8
3,1422,1504.5
4,1973,1503.8
5,2536,1500.4
6,3033,1480.9
7,3443,1482.7
8,3812,1482.7
9,4086,1485.5
10,4299,1488.2
