1,1,0.11278
2,4,0.080712
3,5,0.062162
4,5,0.06629
5,5,0.082267
6,5,0.053393
7,5,0.053214
8,5,0.050198
9,7,0.040665
10,7,0.041684
1,1,0.083326
2,4,0.062542
3,5,0.049104
4,6,0.046527
5,5,0.052837
6,7,0.04071
7,7,0.040021
8,5,0.049931
9,5,0.060295
10,5,0.066707
1,1,0.12042
2,4,0.075891
3,5,0.05552
4,5,0.051438
5,5,0.047033
6,7,0.037765
7,5,0.055161
8,5,0.050593
9,5,0.047284
10,5,0.046696
1,1,0.08908
2,4,0.064329
3,5,0.051274
4,5,0.064116
5,5,0.048894
6,5,0.063014
7,5,0.062049
8,5,0.04733
9,5,0.051633
10,5,0.051906
1,1,0.080529
2,4,0.06141
3,5,0.050786
4,6,0.048325
5,7,0.042737
6,5,0.06288
7,5,0.073142
8,5,0.047934
9,5,0.066739
10,7,0.049029
