2,9,8
2
2
2
2
2
2
2
2
2
2,7,10
2
2
2
2
2
2
2
2
2
2,7,10
2
2
2
2
2
2
2
2
2
2,9,8
2
2
2
2
2
2
2
2
2
2,7,10
2
2
2
2
2
2
2
2
2
