3,0.077762,1
1,0.11781,11
1,0.19625,21
1,0.29144,31
1,0.3362,41
1,0.40484,51
1,0.49154,61
1,0.54137,71
1,0.70889,81
1,0.80872,91
5,0.14618,1
4,0.30257,11
4,0.47561,21
4,0.69692,31
4,0.773,41
4,0.90278,51
4,1.0683,61
4,1.2032,71
4,1.3339,81
4,1.7603,91
5,0.16006,1
5,0.37801,11
5,0.49471,21
5,0.68832,31
5,0.91637,41
5,0.93522,51
5,1.1176,61
5,1.2299,71
5,1.4555,81
5,1.6031,91
5,0.16755,1
5,0.31946,11
5,0.47162,21
5,0.66475,31
5,0.85946,41
5,0.89699,51
5,1.1255,61
5,1.289,71
5,1.4131,81
5,1.5669,91
5,0.1329,1
5,0.35005,11
5,0.55555,21
5,0.65631,31
5,1.1286,41
5,1.2054,51
5,1.3341,61
5,1.3092,71
5,1.846,81
5,1.7718,91
5,0.12841,1
5,0.29403,11
5,0.54039,21
5,0.67897,31
5,0.76586,41
5,0.92709,51
5,1.2453,61
5,1.2553,71
5,1.4873,81
5,1.8763,91
5,0.14659,1
5,0.34551,11
5,0.49005,21
5,0.79118,31
5,0.82187,41
5,1.1193,51
5,1.1655,61
5,1.3219,71
5,1.5388,81
5,1.7384,91
5,0.13204,1
5,0.29327,11
5,0.48379,21
5,0.97919,31
5,0.96589,41
5,1.0863,51
5,1.1943,61
5,1.3306,71
5,1.614,81
5,1.7627,91
5,0.20743,1
5,0.3018,11
5,0.84863,21
5,1.3864,31
5,1.2755,41
5,1.3383,51
5,1.1783,61
5,1.461,71
5,1.8768,81
5,2.2928,91
5,0.25792,1
5,0.39048,11
5,0.67992,21
5,0.89073,31
5,1.6654,41
5,1.246,51
5,1.3767,61
5,1.3403,71
5,1.8861,81
5,1.7043,91
