4551,1598,6967,2930,2940,2014,4384,4518,15189,16175,2282,3970,9787,4378,5933,15032,4507,1290,2,13,588,959,996
6967,14570,2940,1598,4518,16087,4384,16175,16198,2930,2014,4737,2938,16169,9787,15189,15488,2,588,811,959,1290,8,996
9787,4518,16176,16177,16198,2930,4515,15032,15488,14570,14143,14406,5026,4384,2940,16169,5933,15189,4378,959,1010,1290,588,996
